-4;-1
1;1
-3;-1
-4;-1
2;-1
-5;-2
0;0
-3;0
-1;0
-2;-3
2;-1
-4;-3
-1;-3
0;-3
2;0
3;1
-4;-1
2;-5
2;-4
-1;0
0;0
-3;-2
-1;2
1;-4
3;-2
-3;-2
1;-2
-6;4
1;2
2;2
-1;-2
1;-3
3;2
1;-1
-2;-1
4;-4
1;-2
3;-5
-2;0
-3;0
-4;3
0;3
2;2
0;3
-1;-1
1;-1
-1;-1
-8;2
1;0
-1;-5
-3;-2
6;0
1;2
-1;3
3;6
1;5
-2;2
-6;4
-3;8
-7;9
2;8
-13;3
4;5
2;6
-1;8
-3;5
-17;-14
11;15
-48;4
52;6
-3;8
-2;-14
-2;-4
12;-6
3;-2
7;6
6;-6
9;-3
3;-6
5;-2
4;-11
4;-13
15;-13
9;-10
4;-6
15;-8
8;-6
3;-3
3;-4
5;-6
3;2
7;2
-6;4
7;1
10;0
5;10
-5;6
3;-6
6;1
1;-5
-3;1
-5;-5
2;-2
1;-4
-2;-1
-3;-2
-3;0
3;-1
7;-1
-4;-1
4;-1
-3;-4
4;-3
1;-2
0;-4
3;0
-2;1
0;0
0;-3
-1;-4
0;-1
2;0
-1;-6
1;-1
-1;1
1;-3
4;-2
3;-5
1;-4
-2;-2
0;1
1;0
2;-3
-2;-4
-1;3
-7;2
-5;2
-7;-1
1;-4
-1;0
-1;-2
2;1
-4;-1
1;-5
5;-1
-1;-2
8;-2
0;-2
1;-4
4;-1
4;-3
0;-4
-3;-2
2;-1
6;-2
0;-2
-3;-4
-1;0
4;5
5;4
5;-4
-4;12
0;62
3;46
-2;23
2;32
7;20
-17;9
-70;3
-148;5
-139;2
-137;-5
-127;-16
-109;-20
-159;-24
-153;-35
-150;-43
-153;-52
-170;-56
-165;-61
-174;-60
-182;-76
-192;-85
-196;-91
-205;-101
-201;-105
-213;-112
-214;-121
-206;-123
-219;-128
-225;-132
-238;-139
-244;-147
-251;-153
-257;-165
-257;-172
-263;-174
-274;-181
-280;-188
-284;-194
-288;-202
-295;-212
-300;-218
-304;-217
-310;-228
-314;-232
-316;-236
