time left right acc
14.45 329 -391 0
14.47 330 -391 0
14.48 331 -391 0
14.50 330 -390 0
14.52 329 -390 1
14.53 328 -390 0
14.55 328 -390 0
14.57 328 -390 0
14.58 327 -390 0
14.60 326 -391 0
14.62 326 -391 0
14.63 325 -390 0
14.65 325 -390 0
14.67 326 -388 1
14.68 326 -389 0
14.70 327 -383 5
14.72 327 -382 0
14.73 328 -384 1
14.75 328 -384 0
14.77 329 -384 0
14.78 329 -385 0
14.80 329 -384 0
14.82 330 -386 2
14.83 330 -386 0
14.85 330 -385 0
14.87 331 -380 4
14.88 331 -378 1
14.90 331 -379 0
14.92 332 -379 0
14.93 332 -380 0
14.95 332 -380 0
14.97 332 -379 0
14.98 333 -381 2
15.00 333 -381 0
15.02 333 -381 0
15.03 333 -380 0
15.05 333 -380 0
15.07 333 -380 0
15.08 333 -379 0
15.10 332 -379 1
15.12 332 -379 0
15.13 331 -378 0
15.15 331 -377 0
15.17 330 -377 0
15.18 330 -376 0
15.20 328 -375 1
15.22 326 -371 6
15.23 320 -363 13
15.25 310 -349 22
15.27 286 -323 50
15.28 255 -289 64
15.30 220 -254 70
15.32 186 -219 69
15.33 152 -183 68
15.35 120 -150 63
15.37 91 -121 57
15.38 69 -97 44
15.40 52 -79 34
15.42 41 -63 26
15.43 31 -48 23
15.45 24 -37 17
15.47 19 -28 14
15.48 16 -19 11
15.50 13 -13 8
15.52 12 -7 6
15.53 10 -3 5
15.55 9 0 4
15.57 8 1 2
15.58 8 3 1
15.60 8 4 1
15.62 7 5 0
15.63 7 5 0
15.65 7 5 0
15.67 7 5 0
15.68 6 4 0
15.70 6 4 0
15.72 5 3 0
15.73 4 2 0
15.75 3 1 0
15.77 2 0 1
15.78 1 0 2
15.80 0 -1 1
15.82 -1 -1 1
15.83 -2 -2 1
15.85 -3 -2 0
15.87 -4 -3 0
15.88 -4 -3 0
15.90 -4 -3 0
15.92 -3 -3 0
15.93 -2 -3 0
15.95 0 -3 1
15.97 0 -3 1
15.98 2 -3 1
16.00 4 -3 1
16.02 5 -3 1
16.03 7 -3 1
16.05 9 -3 1
16.07 10 -3 1
16.08 11 -3 0
16.10 11 -2 0
16.12 11 -1 1
16.13 7 4 8
16.15 3 13 12
16.17 -3 26 19
16.18 -28 55 53
16.20 -57 88 62
16.22 -89 123 65
16.23 -123 161 71
16.25 -158 199 72
16.27 -195 236 73
16.28 -229 271 68
16.30 -254 298 51
16.32 -276 314 37
16.33 -294 326 29
16.35 -308 334 22
16.37 -317 339 13
16.38 -323 341 7
16.40 -327 341 3
16.42 -330 338 4
16.43 -331 338 1
16.45 -331 338 0
16.47 -331 338 0
16.48 -331 337 0
