time left right
15116 -323 335
15133 -323 335
15150 -323 336
15166 -323 335
15183 -323 335
15200 -323 336
15216 -323 336
15233 -322 335
15250 -322 335
15266 -321 335
15283 -322 334
15300 -322 334
15316 -322 334
15333 -322 333
15350 -323 333
15366 -324 332
15383 -324 332
15400 -324 330
15416 -324 330
15433 -324 331
15450 -324 331
15466 -324 331
15483 -324 331
15500 -324 331
15516 -324 332
15533 -324 332
15550 -324 332
15566 -324 333
15583 -323 333
15600 -323 333
15616 -323 334
15633 -323 334
15650 -322 334
15666 -322 335
15683 -321 335
15700 -321 336
15716 -321 336
15733 -321 336
15750 -320 337
15766 -320 338
15783 -320 338
15800 -320 338
15816 -320 338
15833 -320 338
15850 -320 338
15866 -320 339
15883 -319 339
15900 -318 340
15916 -317 339
15933 -316 339
15950 -316 339
15966 -315 339
15983 -315 338
16000 -315 338
16016 -315 337
16033 -314 337
16049 -314 337
16066 -314 336
16083 -313 336
16100 -314 336
16116 -314 336
16133 -314 335
16150 -314 337
16166 -315 339
16183 -315 338
16200 -315 338
16216 -315 337
16233 -315 336
16250 -316 336
16266 -315 334
16283 -314 332
16299 -314 332
16316 -313 331
16333 -313 331
16350 -314 331
16366 -314 330
16383 -314 330
16400 -315 330
16416 -315 329
16433 -315 329
16450 -316 328
16466 -316 331
16483 -316 333
16500 -317 333
16516 -317 332
16533 -317 331
16550 -317 330
16566 -317 331
16583 -317 329
16600 -317 328
16616 -317 329
16633 -316 329
16650 -316 329
16666 -315 330
16683 -315 330
16700 -313 331
16716 -312 331
16733 -312 331
16750 -312 331
16766 -312 332
16783 -313 332
16800 -312 332
16816 -313 333
16833 -313 333
16850 -313 334
16866 -312 334
16883 -312 334
16900 -312 334
16916 -311 334
16933 -311 334
16950 -312 335
16966 -313 334
16983 -312 334
17000 -311 334
17016 -311 334
17033 -310 334
17050 -310 334
17066 -308 333
17083 -308 333
17100 -308 333
17116 -308 333
17133 -308 332
17150 -307 332
17166 -307 332
17183 -307 332
17200 -307 331
17216 -308 329
17233 -308 330
17250 -307 331
17266 -307 330
17283 -307 330
17300 -307 330
17316 -307 329
17333 -307 330
17350 -307 328
17366 -307 327
17383 -308 327
17400 -308 327
17416 -308 326
17433 -308 326
17450 -308 325
17466 -308 325
17483 -309 325
17500 -309 324
17516 -309 324
17533 -309 324
17550 -310 320
17566 -310 320
17583 -310 320
17600 -310 320
17616 -310 321
17633 -311 322
17650 -310 321
17666 -311 324
17683 -311 324
17700 -310 324
17716 -310 324
17733 -310 324
17750 -310 325
17766 -310 326
17783 -309 326
17800 -309 326
17816 -309 327
17833 -307 328
17850 -306 328
17866 -307 328
17883 -307 328
17900 -307 329
17916 -307 329
17933 -306 329
17950 -307 329
17966 -307 330
17983 -306 330
18000 -306 330
18016 -305 330
18033 -305 331
18050 -304 329
18066 -303 329
18083 -303 330
18100 -302 329
18116 -301 329
18133 -299 329
18150 -296 328
18166 -292 328
18183 -288 327
18200 -284 326
18216 -278 324
18233 -271 320
18250 -262 311
18266 -248 298
18283 -220 279
18300 -188 254
18316 -157 221
18333 -129 185
18350 -107 147
18366 -85 119
18383 -65 95
18400 -49 67
18416 -37 43
18433 -27 25
18450 -18 11
18466 -9 3
18483 -2 -4
18500 3 -11
18516 7 -13
18533 10 -14
18550 13 -13
18566 14 -12
18583 15 -10
18600 16 -8
18616 15 -7
18633 15 -5
18650 13 -4
18666 12 -3
18683 11 -2
18700 9 -2
18716 7 -1
18733 6 -1
18750 4 -2
18766 3 -2
18783 2 -3
18800 2 -4
18816 2 -5
18833 1 -6
18850 1 -7
18866 1 -8
18883 2 -8
18900 2 -9
18916 2 -9
18933 3 -10
18950 3 -10
18966 3 -10
18983 4 -10
19000 4 -10
19016 4 -11
19033 4 -11
19050 4 -11
19066 5 -11
19083 5 -10
19100 5 -10
19116 5 -9
19133 5 -8
19150 5 -7
19166 5 -7
19183 5 -6
19200 5 -6
19216 5 -5
19233 5 -5
19250 4 -4
19266 4 -4
19283 4 -4
19300 3 -4
19316 3 -3
19333 3 -3
19350 2 -3
19366 2 -3
19383 2 -3
19400 2 -3
19416 2 -3
19433 2 -3
19450 2 -3
19466 2 -4
19483 2 -4
19500 2 -3
19516 2 -3
19533 2 -2
19550 2 -2
19566 2 -1
19583 2 -1
19600 2 -2
19616 2 -4
19633 3 -6
19650 3 -8
19666 3 -9
19683 4 -10
19700 4 -10
19716 5 -10
19733 5 -9
19750 5 -8
19766 5 -7
19783 6 -5
19800 5 -4
19816 5 -2
19833 5 -1
19850 5 -1
19866 5 0
19883 4 0
19900 4 0
19916 4 0
19933 3 0
19950 3 0
19966 3 0
19983 3 0
20000 2 0
20016 2 0
20033 2 0
20050 2 -1
20066 2 -1
20083 2 -1
20100 2 -2
20116 2 -2
20133 2 -2
20150 2 -2
20166 2 -2
20183 2 -2
20200 2 -2
20216 3 -3
20233 3 -3
20250 3 -3
20266 3 -3
20283 4 -4
20300 4 -4
20316 4 -4
20333 4 -4
20350 4 -4
20366 4 -5
20383 3 -5
20400 3 -5
20416 3 -5
20433 3 -5
20450 3 -5
20466 3 -5
20483 3 -4
20500 3 -4
20516 3 -4
20533 3 -4
20550 3 -4
20566 3 -3
20583 3 -3
20600 3 -3
20616 3 -3
20633 3 -3
20650 3 -3
20666 3 -3
20683 3 -3
20700 3 -3
20716 3 -3
20733 3 -3
20750 3 -3
20766 3 -3
20783 3 -3
20800 2 -3
20816 2 -3
20833 2 -4
20850 2 -4
20866 2 -4
20883 3 -4
20900 3 -4
20916 3 -4
20933 3 -4
20950 3 -3
20966 3 -3
20983 3 -3
21000 3 -3
21016 3 -3
21033 3 -3
21050 3 -3
21066 3 -3
21083 3 -3
21100 3 -3
21116 3 -3
21133 3 -3
21150 3 -3
21166 3 -3
21183 3 -3
21200 3 -3
21216 3 -3
21233 3 -3
21250 3 -3
21266 3 -4
21283 3 -4
21300 3 -4
21316 3 -4
21333 3 -4
21350 3 -4
21366 3 -3
21383 3 -3
21400 3 -3
21416 3 -3
21433 3 -3
21450 3 -3
21466 3 -3
21483 3 -3
21500 3 -3
21516 3 -3
21533 3 -3
21550 3 -3
21566 3 -3
21583 3 -3
21600 3 -3
21616 3 -3
21633 3 -3
21650 3 -3
21666 3 -3
21683 3 -3
21700 3 -3
21716 3 -3
21733 3 -3
21750 3 -3
21766 3 -3
21783 3 -3
21800 3 -3
21816 3 -3
21833 3 -3
21850 3 -3
21866 3 -3
21883 3 -3
21900 3 -3
21916 3 -3
21933 3 -3
21950 3 -3
